case_id,dyad,month,split,total_event_count,conflict_count,military_count,threat_count,cooperation_count,diplomatic_count,avg_tone,avg_goldstein,cinc_ratio,diplomatic_score,trade_dependence,news_sentiment,recent_conflicts,us_gdp_current_usd,target_gdp_current_usd,us_military_expenditure_usd,target_military_expenditure_usd,us_trade_percent_gdp,target_trade_percent_gdp,fatalities_sum,us_actor_events,model_probability,label,future_6m_escalation_score,label_threshold,gdelt_article_count,gdelt_avg_tone,gdelt_negative_share
ACLED_CASE_00184,US-Iran,2022-06,train,24,14,5,10,0,0,-10.0,-5.6,1.283497435912692,-0.9333333333333332,0.3811614527892075,-0.6601474667326174,0.0785895517533016,25604848907611.0,0.0,860692200000.0,7459331830.84591,27.3139397355363,48.9183508223052,23.0,0,0.7657065162494816,1,229.88,201.34,0,0.0,0.0
ACLED_CASE_00185,US-Iran,2022-07,train,29,22,6,7,0,0,-6.428571428571429,-3.974285714285714,1.283497435912692,-0.9565217391304348,0.3811614527892075,-0.4912037256205369,0.0790449547849847,25604848907611.0,0.0,860692200000.0,7459331830.84591,27.3139397355363,48.9183508223052,27.0,0,0.7993613025517866,1,218.7,201.34,0,0.0,0.0
ACLED_CASE_00186,US-Iran,2022-08,train,15,13,7,2,0,0,-7.5,-3.98,1.283497435912692,-0.9285714285714286,0.3811614527892075,-0.5323839256655879,0.0805412790319432,25604848907611.0,0.0,860692200000.0,7459331830.84591,27.3139397355363,48.9183508223052,5.0,0,0.6510481711271477,1,222.26,201.34,0,0.0,0.0
ACLED_CASE_00187,US-Iran,2022-09,train,13,11,0,2,0,0,-6.842105263157895,-3.7110526315789474,1.283497435912692,-0.9166666666666666,0.3811614527892075,-0.4985331558844036,0.0812569123674451,25604848907611.0,0.0,860692200000.0,7459331830.84591,27.3139397355363,48.9183508223052,9.0,0,0.4889238121871928,1,309.7,201.34,0,0.0,0.0
ACLED_CASE_00188,US-Iran,2022-10,train,45,38,8,7,0,0,-7.971014492753623,-5.425507246376812,1.283497435912692,-0.9743589743589745,0.3811614527892075,-0.5954144566318694,0.0819074881269923,25604848907611.0,0.0,860692200000.0,7459331830.84591,27.3139397355363,48.9183508223052,53.0,0,0.9145392927767856,1,371.1,201.34,0,0.0,0.0
ACLED_CASE_00189,US-Iran,2022-11,train,38,32,5,6,0,0,-8.461538461538462,-5.230769230769231,1.283497435912692,-0.9696969696969696,0.3811614527892075,-0.6054614021303942,0.0845748487411359,25604848907611.0,0.0,860692200000.0,7459331830.84591,27.3139397355363,48.9183508223052,34.0,0,0.8525499865798823,1,380.98,201.34,0,0.0,0.0
ACLED_CASE_00190,US-Iran,2022-12,train,33,28,6,5,0,0,-7.435897435897436,-4.517948717948718,1.283497435912692,-0.9655172413793104,0.3811614527892075,-0.5481347715317766,0.0871120942033699,25604848907611.0,0.0,860692200000.0,7459331830.84591,27.3139397355363,48.9183508223052,26.0,0,0.8237824302323995,1,419.14,201.34,0,0.0,0.0
ACLED_CASE_00191,US-Iran,2023-01,validation,20,15,5,5,0,0,-5.238095238095238,-3.0290476190476188,1.286793259587115,-0.9375,0.3734193994217845,-0.4059683597100382,0.0890638214820115,27292170793214.4,0.0,916014700000.0,7390861136.37782,25.2903297883366,49.3935500960203,13.0,0,0.68528695939544,1,417.18,201.34,0,0.0,0.0
ACLED_CASE_00192,US-Iran,2023-02,validation,22,15,4,7,0,0,-8.181818181818182,-4.400909090909091,1.286793259587115,-0.9375,0.3734193994217845,-0.5699353526540467,0.089649339665604,27292170793214.4,0.0,916014700000.0,7390861136.37782,25.2903297883366,49.3935500960203,8.0,0,0.7108627817731223,1,408.34,201.34,0,0.0,0.0
ACLED_CASE_00193,US-Iran,2023-03,validation,83,18,3,65,0,0,-8.26086956521739,-4.830434782608695,1.286793259587115,-0.9473684210526316,0.3734193994217845,-0.5864926603222204,0.0910155487606531,27292170793214.4,0.0,916014700000.0,7390861136.37782,25.2903297883366,49.3935500960203,26.0,0,0.9963692320166156,1,418.84,201.34,0,0.0,0.0
ACLED_CASE_00194,US-Iran,2023-04,validation,101,10,1,91,0,0,-9.805825242718448,-5.162912621359223,1.286793259587115,-0.9090909090909092,0.3734193994217845,-0.6419237910136915,0.0960900396851213,27292170793214.4,0.0,916014700000.0,7390861136.37782,25.2903297883366,49.3935500960203,8.0,0,0.999,1,311.0199999999999,201.34,0,0.0,0.0
